A&A	Astronomy and Astrophysics
MPBu	Minor Planet Bulletin
MPC	Minor Planet Circulars
MPCPS	Mathematical Proceedings of the Cambridge Philosophical Society
MPDS	Mechanics and Physics of Discrete Systems
MPEC	Minor Planet Electronic Circulars
MPEM	Mineral Processing and Extractive Metallurgy
MPERp	MPE Report
MPFD	Microdevices: Physics and Fabrication Technologies
MPLA	Modern Physics Letters A
MPLB	Modern Physics Letters B
MRE	Materials Research Express
MROVG	Munich R Oldenbourg Verlag GmbH
MRRev	Magnetic Resonance Review
MRSAd	MRS Advances
MRSBu	MRS Bulletin
MRSCo	MRS Communications
MRSES	MRS Energy and Sustainability
MRSSP	Materials Research Society Symposia Proceedings
MS&E	Materials Science and Engineering Conference Series
MSAIQ	Societa Astronomica Italiana Memorie Quarter
MSAIS	Memorie della Societa Astronomica Italiana Supplementi
MSATT	MSATT Newsletter
MSB	Methods in Subnuclear Physics
MSCTN	Meteorological Satellite Center Technical Note
MSEnA	Materials Science and Engineering A
MSEnB	Materials Science and Engineering B
MSEnC	Materials Science and Engineering C
MSEnR	Materials Science and Engineering R Reports
MSEng	Materials Science and Engineering
MSF	Materials Science Forum
MSHT	Metal Science and Heat Treatment
MSHTM	Metal Science and Heat Treatment of Metals
MSM	Mechanics of Structures and Machines
MSMFR	Milano Seminario Matematico e Fisico Rendiconti
MSMSE	Modelling Simul. Mater. Sci. Eng.
MSPE	Management Systems in Production Engineering
MSRSL	Memoires of the Societe Royale des Sciences de Liege
MSRv	Mass Spectrometry Reviews
MSSP	Mechanical Systems and Signal Processing
MSTec	Materials Science And Technology
MT	Metallurgical Transactions
MTA	Metallurgical Transactions A
MTB	Metallurgical Transactions B
MTDM	Mechanics of Time-Dependent Materials
MTEng	Microscale Thermophysical Engineering
MTObM	Metallovedenie i Termicheskaia Obrabotka Metallov
MTPMM	Metallurgical Transactions Physical Metallurgy Materials Science
MTRMA	Meteor Forschungsergebnisse Reihe B Meteorologie und Aeronomie
MTest	Materials Testing
MUPB	Moscow University Physics Bulletin
MURJE	Mehran University Research Journal of Engineering and Technology
MUSS	Muenchen Universitaets Schriften Serie
MUVSK	Moskovskii Universitet Vestnik Seriia Khimiia
MVMP	Methoden und Verfahren der Mathematischen Physik
MVSFA	Moskovskii Universitet Vestnik Seriia Fizika Astronomiia
MVSMM	Moskovskii Universitet Vestnik Seriia Matematika Mekhanika
MWE	Mine Water and The Environment
MWGBI	Mannheim West Germany Bibliographisches Institut AG
MWOAR	Mount Wilson Observatory Annual Report
MWRv	Monthly Weather Review
MaCom	Mathematics of Computation
MaDes	Machine Design
MaFi	Mathematical Finance
MaFiz	Matematicheskaia Fizika
MaHT	Materials at High Temperatures
MaMeA	Sankt Peterburgskii Universitet Vestnik Seriia Matematika Mekhanika Astronomiia
MaMol	Macromolecules
MaPEJ	Mathematical Physics Electronic Journal
MaPhS	Mathematical Physics Studies
MaPr	Mathematical Proceedings
MaRBu	Materials Research Bulletin
MaTeJ	ManTech Journal
MaTec	Materials Technology
MadOO	Madras Observatory Astronomical Observations
MadOb	Madras Observatory Observations
MagFE	Magnetic Fusion Energy
MagGi	Magnitnaia Gidrodinamika
MagIs	Magnitosfernye Issledovaniia
ManGe	Manuscripta Geodaetica
ManRv	Manufacturing Review
MarCh	Marine Chemistry
MarER	Marine Environmental Research
MarEc	Marine Ecology
MarGR	Marine Geophysical Research
MarGe	Marine Geodesy
MarGn	Marine Genomics
MarMP	Marine Micropaleontology
MarPB	Marine Pollution Bulletin
MarPG	Marine and Petroleum Geology
MarRv	Marconi Review
Mare	Materials
Mashi	Mashinostroenie
Mat	Mathematika
MatAn	Mathematische Annalen
MatEv	Materials Evaluation
MatFu	Materials Futures
MatG	Mathematical Geology
MatIs	Matematicheskie Issledovaniia
MatL	Materials Letters
MatM	Mathematical Modelling
MatMo	The Mathemtical Monthly
MatNa	Mathematische Nachrichten
MatPE	Mathematics of Planet Earth
MatPr	Mathematical Programming
MatQT	Materials for Quantum Technology
MatRI	Materials Research Innovations
MatRv	Mathematical Reviews
MatSP	Materials Science Poland
MatST	Materials Science and Technology
MatTe	Materiaux et Techniques
MatTh	Materials Theory
MatTr	Materials Transactions JIM
MatVe	Matematichki Vesnik
MatZe	Mathematische Zeitschrift
Mate	Materials
Mater	Materialpruefung
MeARB	Academie Royale de Belgique Classe des Sciences Memoires
MeAar	Meddelser fra Ole Romer Observatoriet Aarhus
MeApp	Meteorological Applications
MeAut	Meres es Automatika
MeCom	Mendeleev Communications
MeGen	Mededelingen Universiteit te Gent Sterrenkundig Instituut
MeGid	Meteorologiia i Gidrologiia
MeInd	Mechanics and Industry
MeLeu	Mededelingen van het Astronomisch Instituut van de Katholieke Universiteit Leuven
MeLuF	Meddelanden fran Lunds Astronomiska Observatorium Serie I
MeLuS	Meddelanden fran Lunds Astronomiska Observatorium Serie II
MeMaT	Mechanism and Machine Theory
MeRAu	Mesures Regulation Automatisme
MeRR	Meteornoe Rasprostranenie Radiovoln, Kazan
MeReC	Mechanics Research Communications
MeSRM	Memoires Scientifiques de la Revue de Metallurgie
MeSSR	Akademiia Nauk SSSR Mekhanika Zhidkosti i Gaza
MeScR	Measurement Science Review
MeScT	Measurement Science and Technology
MeSol	Mechanics of Solids
MeTeS	Mechanika Teoretyczna i Stosowana
MeUpp	Meddelanden fran Astronomiska Observatorium Uppsala
Meas	Measurement
MecEn	Mechanical Engineering
MecSM	Mechanics of Soft Materials
MecSc	Mechanical Sciences
Mecc	Meccanica
MedPh	Medical Physics
MeeRe	Kenneth Mees Observatory Reprints
MekGS	Mekhanika Giroskopicheskikh Sistem
MekKM	Mekhanika Kompozitnykh Materialov
MekP	Mekhanika Polimerov
MekTT	Mekhanika Tverdogo Tela
MelAR	Melbourne Observatory Annual Reports
MelOO	Melbourne Observatory Observations
MerRe	Instituto Venezolano de Astronomia Merida Venezuela
MercM	The Mercury Messenger
Mercu	Mercury
Met	Meteorite - The International Quarterly of Meteorites and Meteorite Science
MetAP	Meteorology Atmospheric Physics
MetHy	Meteorology Hydrology JPRS
MetIs	Meteornye Issledovaniia
MetMa	Meteorological Magazine
MetMo	Meteorological Monographs
MetOc	Methods in Oceanography
MetRT	Metallurgical Research &amp; Technology
MetRu	Meteorologische Rundschau
MetVy	Metody Vychislenii
MetZe	Meteorologische Zeitschrift
MetZp	Meteorologicke Zpravy
MetaM	Metamaterials
Metal	Metallofizika
Meteo	La Meteorologie
Metic	Meteoritics
Metik	Meteoritika
Metit	Meteorites
Metoo	Meteoor
Metro	Metrologia
Meu1K	Observatoire de Meudon
MiARB	Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie B
MiARI	Astronomisches Rechen-Institut Heidelberg Mitteilungen Serie A
MiBas	Mitteilungen der Astronomisch-Meteorologischen Anstalt der Universitaet Basel Astronomische Reihe
MiBon	Mitteilungen der Astronomischen Institute der Universitaet Bonn
MiBre	Astronomische Mitteilungen der Koeniglichen Universitaets-Sternwarte zu Breslau
MiElC	Military Electronics Countermeasures
MiEng	Minerals Engineering
MiGIR	Mitteilungen Geod. Institut Rheinischen Friedrich-Wilhelms-Universitaets. Bonn
MiGoe	Astronomische Mitteilungen der Universitaets-Sternwarte zu Goettingen
MiGra	Mitteilungen der Universitaets-Sternwarte Graz
MiHam	Mitteilungen der Hamburger Sternwarte in Bergedorf
MiHar	Mitteilungen der Bruno-H.-Buergel-Sternwarte Hartha DDR
MiINT	Minsk Izdatel Nauka i Tekhnika
MiInn	Mitteilungen der Sternwarte Innsbruck
MiInt	Microelectronics International
MiJen	Mitteilungen der Universitaets-Sternwarte zu Jena
MiJo	Microwave Journal
MiKon	Mitteilungen der Konkoly Sternwarte Budapest-Szabadsaghegy
MiLa	Mind and Language
MiMic	Microscopy and Microanalysis
MiMue	Mitteilungen des Astronomischen Instituts des Universitaet Munster
MiMun	Mitteilungen der Sternwarte Munchen
MiOTL	Microwave and Optical Technology Letters
MiPot	Mitteilungen des Astrophysikalischen Observatoriums Potsdam
MiPul	Mitteilungen der Nikolai-Hauptsternwarte zu Pulkowo
MiRe	Microelectronics Reliability
MiST	Mining Science and Technology
MiSTC	Mining Science and Technology (China)
MiSon	Mitteilungen der Sternwarte zu Sonneberg
MiTau	Zentralinstitut fuer Astrophysik Mitteilungen des Karl-Schwarzschild-Observatoriums Tautenburg
MiTue	Mitteilungen des Astronomischen Instituts der Universitaet Tuebingen
MiWie	Mitteilungen der Universitaets-Sternwarte Wien
MiZur	Astronomische Mitteilungen der Eidgen&ouml;ssischen Sternwarte Zurich
MicEc	Microbial Ecology
MicNa	Microsystems & Nanoengineering
MicST	Microgravity Science and Technology
MicWa	Microwaves
MicgQ	Microgravity Quarterly
MikSb	Mikroelektronika Sbornik
Mikro	Mikroelektronika
MinDe	Mineralium Deposita
MinJ	Mineralogical Journal
MinM	Mineralogical Magazine
MinPe	Mineralogy and Petrology
Mine	Minerals
Miner	Mineralogia
Mirro	The NOIRLab Mirror
MisSp	Missiles Spacecraft
MitAG	Mitteilungen der Astronomischen Gesellschaft Hamburg
MitAe	Max Planck Institut Aeronomie Mitteilungen
MitSI	Mitteilungen Mitt. Staatl. Astr. Sternberg-Inst.
MitSZ	Astronomischen Mitteilungen Eidgen. Sternwarte Zurich
MitVS	Zentralinstitut fuer Astrophysik Sternwarte Sonneberg Mitteilungen ueber Veraenderliche Sterne
MmARB	Memoires of the Academie Royale de Belgique
MmASI	Memoirs of the Astronomical Society of India
MmArS	Osservazioni e memorie dell'Osservatorio astrofisico di Arcetri - Appendici
MmArc	Osservazioni e memorie dell'Osservatorio astrofisico di Arcetri
MmBAA	Memoirs of the British Astronomical Association
MmCP	Macromolecular Chemistry and Physics
MmKMO	Kakioka Magnetic Observatory Memoirs
MmKyo	Memoirs Faculty of Sciences University of Kyoto
MmMtS	Memoires of the Mount Stromlo Observervatory
MmNAS	Memoirs of the National Academy of Sciences
MmNap	Memorie del R. Osservatorio di Capodimonte in Napoli
MmRAS	Memoirs of the Royal Astronomical Society
MmSAI	Memorie della Societa Astronomica Italiana
MmSGI	Memorie della Societa Geologica Italiana
MmSS	Memorie della Societa Degli Spettroscopisti Italiani, serie 2
MmSSI	Memorie della Societa Degli Spettroscopisti Italiani
MoEBA	Moscow Energoatomizdat Biblioteka Automatike
MoEIT	Moskovskii Energeticheskii Institut Trudy
MoGid	Moscow Gidrometeoizdat
MoIKI	Moscow Institut Kosmicheskikh Issledovanii AN SSSR
MoINI	Moscow Izdatel Nauka Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa
MoIPM	Moscow Institut Prikladnoi Matematiki AN SSSR
MoIzA	Moscow Izdatel Atomizdat
MoIzE	Moscow Izdatel Energiia
MoIzK	Moscow Izdatel Khimiia
MoIzM	Moscow Izdatel Moskovskogo Universiteta
MoIzN	Moscow Izdatel Nauka
MoIzS	Moscow Izdatel Sviaz
MoIzT	Moscow Izdatel Transport
MoIzV	Moscow Izdatel VINITI
MoIzZ	Moscow Izdatel Znanie
MoLLP	Moshchnye lazery i lazernaia plazma
MoMGK	Moscow Mezhduvedomstvennyi Geofizicheskii Komitet
MoMTN	Moscow Mezhdunarodnyi Tsentr Nauchnoi i Tekhnicheskoi Informatsii
MoSim	Molecular Simulation
MoVIN	Moscow VINITI
MoVNT	Moscow Vychislitelnyi Tsentr AN SSSR
MoVyS	Moscow Vysshaia Shkola
ModGe	Modern Geology
ModIn	Modern Instrumentation
ModPh	Modern Physics
MolAs	Molecular Astrophysics
MolPh	Molecular Physics
MonAP	Communications du Departement d'Astrophysique de la Faculte des Sciences de Mons Mons Astrophysical Papers
Moon	Moon
MorGI	Morskie Gidrofizicheskie Issledovaniia
MosIZ	Moscow IZMIRAN
MosVI	Moscow Voennoe Izdatel
MosVo	Moscow Voenizdat
MotZe	Motortechnische Zeitschrift
MpNp	Microplastics and Nanoplastics
MsT	Masters Thesis
Msngr	The Messenger
MtSOM	Mount Stromlo Observatory Mimeographs
MtWAR	Mount Wilson and Palomar Observatory Annual Report
MtoIs	Meteorologicheskie Issledovaniia
MuMat	Multifunctional Materials
MulSE	Multiscale Science and Engineering
NAR	Nucleic Acids Research
NASCL	NASA Circular Letter
NASCP	NASA Conference Publication
NASCR	NASA Contract Report
NASRP	NASA Reference Publication
NASSP	NASA Special Publication
NASTM	NASA Technical Memo
NATM	Nonlinear Analysis Theory Methods Applications
NATi	Nordisk Astronomisk Tidsskrift
NAZ	Nachrichtenblatt der Astronomischen Zentralstelle Heidelberg
NBSSP	National Bureau of Standards Special Publication
NBSTN	National Bureau of Standards Technical Note
NCE	Noise Control Engineering Journal
NCNS	Network: Computation in Neural Systems
NCim	Il Nuovo Cimento
NCimA	Nuovo Cimento A Serie
NCimB	Nuovo Cimento B Serie
NCimC	Nuovo Cimento C Geophysics Space Physics C
NCimD	Nuovo Cimento D Serie
NCimL	Nuovo Cimento Lettere
NCimR	Nuovo Cimento Rivista Serie
NCimS	Nuovo Cimento Serie
NDS	Nuclear Data Sheets
NDSA	Nuclear Data Sheets Section A
NDSB	Nuclear Data Sheets Section B
NDT	Nuclear Data Tables
NDTE	Nondestructive Testing and Evaluation
NDTI	Nondestructive Testing and Evaluation International
NFAO	Numerical Functional Analysis and Optimization
NGFAW	Nachrichtentechnische Gesellschaft Fachtagung ueber Antennen
NHCWP	North Hollywood Calif Western Periodicals Co
NHESD	Natural Hazards and Earth System Sciences Discussions
NHESS	Natural Hazards and Earth System Sciences
NHTA	Numerical Heat Transfer Part A - Applications
NHTB	Numerical Heat Transfer Part B - Fundamentals
NIMPA	Nuclear Instruments and Methods in Physics Research A
NIMPB	Nuclear Instruments and Methods in Physics Research B
NIMPR	Nuclear Instruments and Methods in Physics Research
NINT	Nablyud. Iskusstvennykh Nebesnykh Tel
NISTJ	National Institute of Standards and Technology Journal of Research
NISZ	Nabliudeniia Iskusstvennykh Sputnikov Zemli
NIUNA	Napoli Istituto Universitario Navale Annali
NInfo	Nauchnye Informatsii
NJCh	New Journal of Chemistry
NJMM	Neues Jahrbuch Mineralogie Monatshefte
NJPh	New Journal of Physics
NJSR	Netherlands Journal of Sea Research
NKG	Nihon Kessho Gakkaishi
NLE	Nonlinear Engineering
NML	Nano-Micro Letters
NMTE	Nanoscale and Microscale Thermophysical Engineering
NN	Neural Networks
NOGB	Nachr. Olbers-Ges. Bremen
NOHIC	Nizamiah JAPAL Rangapur Observatories Hyderabad India Contributions
NOSCA	Observaciones Astronomicas Hechas en el Observatorio de Santiago de Chile
NPAE	Nuclear Physics and Atomic Energy
NPGD	Nonlinear Processes in Geophysics Discussions
NPGeo	Nonlinear Processes in Geophysics
NPNDS	Neutron Physics and Nuclear Data in Science and Technology
NPNew	Nuclear Physics News
NPPP	Nuclear and Particle Physics Proceedings
NPPSB	Nonequilibrium Problems in the Physical Sciences and Biology
NPhS	Nature Physical Science
NRA&A	Nouvelle Revue d'Aeronautique et d'Astronautique
NRAON	National Radio Astronomy Observatory Newsletter
NRAOP	National Radio Astronomy Observatory Publications
NRAOR	National Radio Astronomy Observatory Reprints
NRAOW	National Radio Astronomy Observatory Workshop
NRL	Nanoscale Research Letters
NROA	Nouvelle Revue d'Optique Appliquee
NROpt	Nouvelle Revue d'Optique
NRRv	Naval Research Reviews
NRvEE	Nature Reviews Earth and Environment
NRvHM	New Review of Hypermedia and Multimedia
NSAP	Nonlinear, Statistical and Applied Physics
NSE	Nuclear Science and Engineering
NSM	Novel Superconducting Materials
NSMMT	Nanoscale Systems Mathematical Modeling Theory and Applications
NSSDC	NSSDC Publication
NSTBL	Notes Scientifiques et Techniques du Bureau des Longitudes
NSTIM	Notes Scientifiques et Techniques de l'Institut de Mecanique Celeste
NSpEc	Networks and Spatial Economics
NTA	Nonlinear Theory and Its Applications, IEICE
NTCo	Nondestructive Testing Communications
NTE	Nondestructive Testing and Evaluation
NTN	New Technology News
NTTRv	NTT Review
NTvA	Novaya tekhn. v astron.
NUAAJ	Nanjing University Aeronautics and Astronautics Journal
NUDTJ	National University Defense Technology Journal
NUFEM	Nagoya University Faculty Engineering Memoirs
NURIA	Nagoya University Research Institute of Atmospherics Proceedings
NUSEM	Nagoya University School Engineering Memoirs
NVS	Nachrichtenblatt der Vereinigung der Sternfreunde
NW	Naturwissenschaften
NWGot	Nachrichten von der Gesellschaft der Wissenschaften zu Goettingen, Mathematisch-Physikalische Klasse
NYASA	Annals of the New York Academy of Sciences
NZJS	New Zealand Journal of Science
NaAIJ	Nanjing Aeronautical Institute Journal
NaGe	National Geographic
NaPho	Nature Photonics
NaRes	Nano Research
NacEl	Nachrichten Elektronik
NacZe	Nachrichtentechnische Zeitschrift
NanMe	Nanomanufacturing and Metrology
NanSy	Nanoelectromechanical Systems
NanoA	Nanoscale Advances
NanoE	Nano Express
NanoF	Nano Futures
NanoH	Nanoscale Horizons
NanoL	Nano Letters
NanoR	Nanoscale Reports
Nanop	Nanophotonics
Nanos	Nanoscale
Nanot	Nanotechnology
Nansp	Nanospectroscopy
Nanth	Nanothermoelectrics
NapCo	Osservatorio Astronomico di Capodimonte Napoli Contributi Astronomici
NatAs	Nature Astronomy
NatBi	Nature Biotechnology
NatCC	Nature Climate Change
NatCh	Nature Chemistry
NatCl	Nature Climate Change
NatCo	Nature Communications
NatEn	Nature Energy
NatGe	Nature Geoscience
NatH	Natural History
NatHR	Natural Hazards Research
NatMa	Nature Materials
NatNa	Nature Nanotechnology
NatPh	Nature Physics
NatRM	Nature Reviews Materials
